score,signals,permit_number,address,zip,description,valuation,sqft,floors,work_class,permit_class,issue_date,contractor_company,contractor_name,contractor_phone,contractor_city,equipment,permit_link,metro
75,"$10M+ value, 10K+ sqft, New Construction",BLD2026-13968,1020 HIGHLAND AVE,,OUC LAKE HIGHLAND SUBSTATION AND LAKE HIGHLAND - New,16536112.0,22680.0,,New Construction,Commercial,2026-05-05,,,,,Boom Lifts,https://permits.cityoforlando.net/permit/BLD2026-13968,Orlando
75,"$10M+ value, 10K+ sqft, New Construction",BLD2026-14032,1101 N JOHN YOUNG PKWY,,4 ROOTS STONE BARN - New,15000000.0,14668.0,,New Construction,Commercial,2026-05-06,JACK JENNINGS and SONS INC,,,ORLANDO,"Excavators, Dozers, Loaders",https://permits.cityoforlando.net/permit/BLD2026-14032,Orlando
75,"$5M+ value, 50K+ sqft, New Construction",ELE2026-12103,650 N HAMPTON AVE,,THE EMI ON 50 - New,7574721.7,580564.0,,New Construction,Commercial,2026-04-23,AIREKO ENERGY SOLUTIONS US LLC,,,ORLANDO,"Excavators, Dozers, Loaders",https://permits.cityoforlando.net/permit/ELE2026-12103,Orlando
70,"$5M+ value, 10K+ sqft, New Construction",BLD2026-14004,930 LEIGH AVE,,MORNING STAR NEW CLASSROOM BUILDING - New,5600000.0,12600.0,,New Construction,Commercial,2026-05-06,RHODES BUILDING COMPANY LLC,,,LONGWOOD,"Excavators, Dozers, Loaders",https://permits.cityoforlando.net/permit/BLD2026-14004,Orlando
